Date,Description,Sub Category,Category,Amount,Transaction Type,Account 
2017-12-28,Bge,Gas,Utilities,172.9,debit,Ally Checking
2018-01-01,Harris Teeter,Groceries,Food and dining,6,debit,Chase CC
2018-01-01,Shiso Tavern,Restaurants,Food and dining,75.5,debit,Chase CC
2018-01-01,Canton Crossing Wine,Wine and spirits ,Food and dining,22.9,debit,Chase CC
2018-01-02,Apex Clearing Ach,Apex Clearing (Ally),Banking and Finance,100,debit,Ally Checking
2018-01-02,Check 1003,Uncategorized Checks,Miscellaneous,50,debit,Ally Checking
2018-01-03,Zia,Restaurants,Food and dining,16.4,debit,Chase CC
2018-01-04,Chipotle,Restaurants,Food and dining,9.1,debit,Chase CC
2018-01-05,Royal Farms,Restaurants,Food and dining,25.7,debit,Chase CC
2018-01-07,Wal-Mart,Groceries,Food and dining,42.2,debit,Chase CC
2018-01-07,Cunningham's,Restaurants,Food and dining,11.7,debit,Chase CC
2018-01-07,Holy Frijoles,Restaurants,Food and dining,53,debit,Chase CC
2018-01-07,Pasta Mista,Restaurants,Food and dining,6.1,debit,Chase CC
2018-01-08,Apex Clearing Ach,Apex Clearing (Ally),Banking and Finance,100,debit,Ally Checking
2018-01-08,Transfer from BofA Core Checking,Payment,Credit,-563,credit,Chase CC
2018-01-09,Aramark,Groceries,Food and dining,17,debit,Chase CC
2018-01-09,Thank You Web,Payment,Credit,-766.2,credit,Chase CC
2018-01-10,Eatalian Bistro,Restaurants,Food and dining,7.3,debit,Chase CC
2018-01-11,Wawa,Convenience Store,Food and dining,7.4,debit,Chase CC
2018-01-12,Falafel House,Restaurants,Food and dining,11.6,debit,Chase CC
2018-01-12,E-ZPass,"Tolls, Fees, & Tickets",Transportation,25,debit,Chase CC
2018-01-14,GUNTHER N CO,Financial services,Miscellaneous,107.3,debit,Southwest CC
2018-01-14,Chipotle,Restaurants,Food and dining,9.1,debit,Chase CC
2018-01-15,Bj Fuel,Gas,Utilities,26.3,debit,Chase CC
2018-01-15,HARRISTEETER #392,Groceries,Food and dining,76.9,debit,Southwest CC
2018-01-15,Spartan Pizzaria Bal,Restaurants,Food and dining,13.6,debit,Chase CC
2018-01-15,VITAMINSHOPPE655,Vitamin,Health care,40,debit,Southwest CC
2018-01-16,Apex Clearing Ach,Apex Clearing (Ally),Banking and Finance,100,debit,Ally Checking
2018-01-16,SHELL OIL 57525762704,Gas,Utilities,34.3,debit,Southwest CC
2018-01-16,Floyds 99 Barbershops,Haircut,Personal care,31,debit,Chase CC
2018-01-17,HARRISTEETER #392,Groceries,Food and dining,58.4,debit,Southwest CC
2018-01-17,Towson Hot Bagels,Restaurants,Food and dining,5.3,debit,Chase CC
2018-01-19,Wawa,Convenience Store,Food and dining,27.8,debit,Chase CC
2018-01-19,SAFEWAY #1481,Groceries,Food and dining,37.8,debit,Southwest CC
2018-01-19,Chipotle,Restaurants,Food and dining,7.6,debit,Chase CC
2018-01-19,Pasta Mista,Restaurants,Food and dining,8.2,debit,Chase CC
2018-01-20,HONEY GROW STORE #113,Restaurants,Food and dining,40.3,debit,Southwest CC
2018-01-21,Aramark,Groceries,Food and dining,12,debit,Chase CC
2018-01-21,HIGHLANDTOWN GREAT,NA,Miscellaneous,12.5,debit,Southwest CC
2018-01-22,Apex Clearing Ach,Apex Clearing (Ally),Banking and Finance,150,debit,Ally Checking
